id,farmer_id,product_id
1,31,10
2,31,2
3,25,13
4,25,3
5,125,5
6,125,9
7,32,7
8,32,8
9,106,3
10,106,1
11,4,9
12,4,11
13,118,7
14,118,6
15,19,3
16,19,1
17,77,2
18,77,12
19,104,7
20,104,8
21,99,7
22,99,2
23,27,10
24,27,2
25,20,9
26,20,10
27,51,3
28,51,7
29,3,3
30,3,11
31,73,9
32,73,11
33,48,2
34,48,9
35,117,13
36,117,1
37,75,6
38,75,13
39,80,3
40,80,12
41,37,12
42,37,9
43,11,6
44,11,5
45,38,2
46,38,6
47,78,1
48,78,13
49,56,5
50,56,9
51,111,6
52,111,3
53,112,9
54,112,6
55,17,12
56,17,7
57,89,2
58,89,7
59,9,11
60,9,12
61,70,8
62,70,12
63,50,8
64,50,5
65,81,12
66,81,13
67,110,10
68,110,13
69,24,13
70,24,5
71,76,6
72,76,13
73,66,3
74,66,7
75,96,7
76,96,8
77,121,13
78,121,2
79,2,6
80,2,9
81,102,7
82,102,11
83,105,12
84,105,13
85,42,4
86,42,11
87,64,4
88,64,2
89,123,4
90,123,2
91,95,3
92,95,11
93,69,2
94,69,13
95,12,12
96,12,4
97,5,10
98,5,6
99,34,10
100,34,5
101,84,6
102,84,5
103,67,9
104,67,1
105,40,11
106,40,3
107,21,5
108,21,8
109,1,9
110,1,5
111,85,1
112,85,11
113,86,9
114,86,5
115,33,1
116,33,3
117,124,3
118,124,12
119,115,12
120,115,4
121,83,7
122,83,11
123,97,3
124,97,5
125,71,5
126,71,6
127,46,6
128,46,12
129,113,2
130,113,3
131,109,2
132,109,12
133,7,13
134,7,12
135,30,11
136,30,1
137,107,3
138,107,12
139,68,5
140,68,2
141,13,4
142,13,10
143,35,8
144,35,3
145,16,4
146,16,4
147,49,13
148,49,10
149,15,9
150,15,7
151,10,11
152,10,3
153,91,9
154,91,10
155,74,8
156,74,5
157,43,7
158,43,13
159,55,4
160,55,11
161,72,1
162,72,8
163,128,3
164,128,1
165,39,6
166,39,3
167,108,9
168,108,3
169,87,6
170,87,13
171,58,4
172,58,5
173,119,5
174,119,10
175,79,4
176,79,1
177,92,7
178,92,13
179,126,9
180,126,2
181,59,12
182,59,8
183,65,12
184,65,4
185,129,9
186,129,4
187,57,12
188,57,4
189,47,2
190,47,8
191,41,4
192,41,13
193,52,12
194,52,13
195,116,12
196,116,13
197,54,4
198,54,7
199,53,1
200,53,5
201,22,13
202,22,3
203,44,13
204,44,8
205,93,2
206,93,1
207,14,8
208,14,5
209,6,12
210,6,3
211,103,12
212,103,9
213,28,10
214,28,6
215,130,1
216,130,12
217,100,13
218,100,3
219,26,9
220,26,3
221,98,1
222,98,8
223,120,2
224,120,5
225,62,1
226,62,5
227,127,12
228,127,10
229,122,12
230,122,1
231,63,9
232,63,2
233,88,6
234,88,9
235,101,9
236,101,7
237,29,12
238,29,6
239,45,4
240,45,7
241,18,11
242,18,1
243,90,13
244,90,7
245,114,8
246,114,4
247,82,13
248,82,3
249,23,7
250,23,13
251,60,6
252,60,3
253,94,6
254,94,10
255,61,4
256,61,5
257,8,3
258,8,10
259,36,1
260,36,6
