"marketId","town","region","marketName","afmaMember","venueName","venueAddress","region","marketType","upcoming","distanceKm","schedule","contact","website","photoLink","longitude","latitude"
"225","Alberta Beach","","Alberta Beach","false","Agriplex ","4811 47 Ave","","","true","","Sunday; 12:00 PM - 3:00 PM;  May 10, 2015 - Sep 27, 2015 (indoor and outdoor); ","Phone: 780-962-3993","","","-114.34865","53.67629"
"1504","Alliance","","Alliance","false","Alliance Community Hall","114 1st Ave East","","","false","","Wednesday; 10:00 AM - 2:00 PM;  Jan 21, 2015 - Dec 16, 2015; Monthly (indoor); 3rd Wednesday of each month","Phone: 780-879-3804","","","-111.78458","52.43594"
"2","Andrew","","Andrew","false","Andrew Arena","5013 51 Ave","","","false","","Saturday; 1:00 PM - 3:00 PM;  Apr 4, 2015 - Oct 10, 2015 (indoor); ","Phone: 780-365-3741","http://www.andrewagsociety.com/","","-112.33599","53.87872"
"1085","Athabasca","","Athabasca ","false","Athabasca Regional Multiplex","1 University Drive","","","false","","Saturday; 11:00 AM - 3:00 PM;  Jan 24, 2015 - May 9, 2015; Every 2nd Week (indoor); ","Phone: 780 675-4398","https://athabascafarmersmarket.wordpress.com","","-113.31060","54.71689"
"1124","Banff","","Banff","false","","Bear Street","","","true","","Wednesday; 10:00 AM - 6:00 PM;  Jun 17, 2015 - Sep 23, 2015 (outdoor); ","Phone: 403-762-0913","http://www.banffmarket.ca","","-115.57245","51.17671"
"394","Barrhead","","Barrhead","false","Barrhead Agrena (Multi Purpose Room)","5607 47 St","","","false","","Saturday; 10:00 AM - 1:00 PM;  May 2, 2015 - Nov 21, 2015 (indoor); ","Phone: 780-674-6802","","","-114.39707","54.11761"
"42","Beaverlodge","","Beaverlodge","false","Ag-Complex","North end of 5th Street","","","true","","Tuesday; 5:00 PM - 8:00 PM;  Jan 6, 2015 - Dec 22, 2015 (indoor); ","Phone: 780-354-8462","","","-119.42397","55.21280"
"43","Bentley","","Bentley","false","Curling Rink ","5218 50 St","","","false","","Saturday; 1:30 PM - 3:30 PM;  May 16, 2015 - Sep 5, 2015 (indoor and outdoor); ","Phone: 403-748-4809","","","-114.04719","52.46532"
"944","Bergen","","Bergen","false","Bergen Hall","31547 Rng Rd 53C; 1/4 mile W Highway 760 and Bergen Rd corner","","","false","","Saturday; 10:00 AM - 1:00 PM;  Jun 27, 2015 - Sep 12, 2015 (outdoor); ","Phone: 403-638-2356","http://thebergenmarket.ca","","-114.64110","51.70270"
"62","Berwyn","","Berwyn","false","Legion Hall","Main Street","","","false","","Saturday; 10:00 AM - 12:00 PM;  May 30, 2015 - Nov 21, 2015; Monthly (indoor); ","Phone: 780-618-8592","","","-117.73373","56.14663"
"440","Blackfalds","","Blackfalds","false","Blackfalds Community Hall","4810 Womacks Road","","","true","","Thursday; 4:00 PM - 7:30 PM;  May 14, 2015 - Oct 1, 2015 (indoor and outdoor); ","Phone: 403-396-4984","https://www.facebook.com/Blackfalds.Farmers.Market?ref=br_tf","","-113.79836","52.38178"
"67","Bonnyville","","Bonnyville","false","Bonnyville Centennial Centre","4313 - 50 Ave","","","true","","Saturday; 11:00 AM - 2:00 PM;  Jan 3, 2015 - Dec 19, 2015 (indoor); ","Phone: 780-826-2669","http://www.bonnyvilleagsociety.com","","-110.72557","54.26809"
"71","Bonnyville","","Bonnyville","false","Bonnyville Fish and Game Building","4402 54 Avenue","","","true","","Tuesday; 3:00 PM - 6:30 PM;  Jan 6, 2015 - Nov 24, 2015 (indoor); ","Phone: 780-635-2460","","","-110.72684","54.27183"
"1324","Bow Island","","Bow Island","false","Golden Age Club","206 5 Ave East","","","true","","Friday; 2:00 PM - 4:30 PM;  Jul 17, 2015 - Sep 11, 2015 (indoor); ","Phone: 403-545-6563","","","-111.37655","49.86969"
"743","Boyle","","Boyle ","false","Boyle Community Centre","5002 3rd St","","","true","","Thursday; 1:00 PM - 4:00 PM;  May 14, 2015 - Sep 10, 2015 (indoor); ","Phone: 780-721-2247","http://www.facebook.com/BoyleMarket","","-112.80743","54.58880"
"74","Brooks","","Brooks","false","Kinsmen Building, old rodeo grounds","7St  & 1 Ave SE intersection","","","true","","Thursday; 3:00 PM - 6:30 PM;  Jun 4, 2015 - Oct 8, 2015 (outdoor); ","Phone: 403-501-1695","https://www.facebook.com/#!/groups/121263754565792/","","-111.89015","50.57188"
